timestamp,user,src_ip,policy_name,action,severity
2026-04-02 12:11:20,eve,10.0.0.10,Mass-Download,alert,Medium
2026-04-02 15:33:48,oscar,10.0.0.22,Sensitive-File-Upload,monitor,High
2026-04-02 12:32:49,eve,10.0.0.10,Large-Attachment,block,High
2026-04-02 08:54:02,bob,10.0.0.6,Bulk-Email-External,alert,High
2026-04-02 11:40:06,henry,10.0.0.13,Bulk-Email-External,alert,High
2026-04-02 13:24:02,alice,10.0.0.5,Bulk-Email-External,block,Low
2026-04-02 08:58:21,dave,10.0.0.9,Mass-Download,monitor,Medium
2026-04-02 15:21:20,bob,10.0.0.6,Bulk-Email-External,monitor,Medium
2026-04-02 12:37:28,ivan,10.0.0.14,Mass-Download,alert,Medium
2026-04-02 13:45:05,bob,10.0.0.6,Mass-Download,monitor,Low
2026-04-02 10:22:25,pat,10.0.0.31,Mass-Download,block,Medium
2026-04-02 10:39:00,mallory,10.0.0.19,Bulk-Email-External,block,High
2026-04-02 12:45:37,dave,10.0.0.9,Bulk-Email-External,monitor,Medium
2026-04-02 11:41:11,grace,10.0.0.12,Mass-Download,block,High
2026-04-02 15:49:44,grace,10.0.0.12,Large-Attachment,monitor,Low
2026-04-02 10:52:20,alice,10.0.0.5,Bulk-Email-External,alert,High
2026-04-02 15:02:00,grace,10.0.0.12,Large-Attachment,alert,Low
2026-04-02 15:59:12,carol,10.0.0.8,Mass-Download,alert,Low
2026-04-02 12:34:11,eve,10.0.0.10,Bulk-Email-External,monitor,Low
2026-04-02 11:04:26,ivan,10.0.0.14,Mass-Download,alert,Medium
2026-04-02 13:42:55,dave,10.0.0.9,Large-Attachment,monitor,Low
2026-04-02 09:45:16,bob,10.0.0.6,Bulk-Email-External,block,High
2026-04-02 10:22:03,bob,10.0.0.6,Sensitive-File-Upload,monitor,Medium
2026-04-02 09:34:58,carol,10.0.0.8,Sensitive-File-Upload,block,Medium
2026-04-02 12:14:45,henry,10.0.0.13,Sensitive-File-Upload,alert,Medium
2026-04-02 12:37:20,grace,10.0.0.12,Mass-Download,alert,High
2026-04-02 10:33:05,dave,10.0.0.9,Mass-Download,block,Low
2026-04-02 09:20:23,pat,10.0.0.31,Bulk-Email-External,block,Low
2026-04-02 11:32:15,dave,10.0.0.9,Bulk-Email-External,monitor,High
2026-04-02 15:34:58,henry,10.0.0.13,Large-Attachment,monitor,High
