timestamp,src_ip,dest_ip,domain,bytes,user
2026-04-02 10:08:39,10.0.0.13,203.118.186.37,google.com,281006,henry
2026-04-02 10:33:00,10.0.0.10,203.156.26.111,akamai.com,1906224,eve
2026-04-02 13:29:52,10.0.0.22,203.34.245.142,spotify.com,714173,oscar
2026-04-02 11:00:39,10.0.0.13,203.180.117.70,netflix.com,738800,henry
2026-04-02 13:42:50,10.0.0.12,203.65.28.186,github.com,134210,grace
2026-04-02 09:51:15,10.0.0.10,203.143.167.58,google.com,1745078,eve
2026-04-02 08:09:09,10.0.0.22,203.165.159.18,slack.com,1105683,oscar
2026-04-02 15:02:49,10.0.0.8,203.32.14.187,github.com,1807595,carol
2026-04-02 12:21:12,10.0.0.10,203.213.56.127,spotify.com,1324464,eve
2026-04-02 14:36:30,10.0.0.13,203.192.174.248,stackoverflow.com,871735,henry
2026-04-02 08:03:33,10.0.0.8,203.229.250.131,akamai.com,670426,carol
2026-04-02 09:27:47,10.0.0.19,203.247.163.2,office365.com,817009,mallory
2026-04-02 10:40:53,10.0.0.19,203.128.13.162,youtube.com,974375,mallory
2026-04-02 10:01:09,10.0.0.8,203.182.222.74,microsoft.com,1471525,carol
2026-04-02 08:57:25,10.0.0.5,203.221.177.186,google.com,678084,alice
2026-04-02 12:25:24,10.0.0.22,203.154.78.214,slack.com,1567231,oscar
2026-04-02 13:18:06,10.0.0.12,203.147.3.67,aws.amazon.com,1516994,grace
2026-04-02 15:15:31,10.0.0.5,203.80.171.20,office365.com,1450535,alice
2026-04-02 13:32:42,10.0.0.31,203.119.75.149,netflix.com,2417,pat
2026-04-02 15:26:08,10.0.0.5,203.242.226.146,salesforce.com,330496,alice
2026-04-02 14:10:28,10.0.0.5,203.106.10.8,stackoverflow.com,1727963,alice
2026-04-02 11:05:35,10.0.0.31,203.108.109.176,slack.com,473888,pat
2026-04-02 10:23:17,10.0.0.14,203.220.144.109,office365.com,1359769,ivan
2026-04-02 09:43:26,10.0.0.19,203.27.168.82,github.com,419812,mallory
2026-04-02 10:22:53,10.0.0.31,203.110.14.212,slack.com,550218,pat
2026-04-02 14:09:56,10.0.0.6,203.40.113.92,microsoft.com,574051,bob
2026-04-02 14:32:28,10.0.0.22,203.179.24.27,teams.microsoft.com,904346,oscar
2026-04-02 08:21:57,10.0.0.5,203.76.10.6,microsoft.com,1866332,alice
2026-04-02 15:02:16,10.0.0.10,203.28.229.243,sharepoint.com,925459,eve
2026-04-02 15:56:39,10.0.0.9,203.19.240.238,akamai.com,1419141,dave
2026-04-02 10:56:27,10.0.0.19,203.36.154.79,salesforce.com,1633691,mallory
2026-04-02 10:43:25,10.0.0.22,203.248.68.237,fastly.net,1921790,oscar
2026-04-02 12:02:22,10.0.0.10,203.5.113.3,youtube.com,971403,eve
2026-04-02 11:35:55,10.0.0.9,203.77.94.110,akamai.com,785983,dave
2026-04-02 14:43:43,10.0.0.8,203.137.8.13,zoom.us,101571,carol
2026-04-02 10:57:37,10.0.0.8,203.145.195.103,sharepoint.com,740182,carol
2026-04-02 08:23:51,10.0.0.14,203.171.7.26,stackoverflow.com,910020,ivan
2026-04-02 09:37:46,10.0.0.6,203.126.112.12,microsoft.com,1318609,bob
2026-04-02 08:40:21,10.0.0.6,203.28.147.181,sharepoint.com,928674,bob
2026-04-02 08:17:30,10.0.0.19,203.70.46.102,github.com,311180,mallory
2026-04-02 15:15:08,10.0.0.10,203.141.96.49,github.com,16137,eve
2026-04-02 15:16:22,10.0.0.19,203.107.127.162,netflix.com,1545852,mallory
2026-04-02 13:17:20,10.0.0.22,203.145.112.223,slack.com,1008651,oscar
2026-04-02 14:26:47,10.0.0.5,203.14.80.157,sharepoint.com,842898,alice
2026-04-02 14:38:54,10.0.0.31,203.253.180.237,spotify.com,854870,pat
2026-04-02 14:20:21,10.0.0.9,203.199.43.154,zendesk.com,1146225,dave
2026-04-02 08:57:19,10.0.0.9,203.19.173.247,github.com,1127625,dave
2026-04-02 12:34:20,10.0.0.19,203.170.66.224,cloudflare.com,1075774,mallory
2026-04-02 13:11:51,10.0.0.5,203.22.155.214,zendesk.com,491820,alice
2026-04-02 08:45:54,10.0.0.6,203.111.55.39,netflix.com,744286,bob
2026-04-02 11:52:03,10.0.0.14,203.132.50.14,zendesk.com,199723,ivan
2026-04-02 10:36:40,10.0.0.31,203.89.249.127,microsoft.com,1910892,pat
2026-04-02 14:00:39,10.0.0.6,203.170.219.234,salesforce.com,569979,bob
2026-04-02 09:02:23,10.0.0.31,203.172.118.208,akamai.com,168708,pat
2026-04-02 08:14:20,10.0.0.13,203.154.13.1,cloudflare.com,93581,henry
2026-04-02 09:37:07,10.0.0.10,203.195.173.195,netflix.com,1091547,eve
2026-04-02 14:17:06,10.0.0.6,203.230.243.252,teams.microsoft.com,1926477,bob
2026-04-02 12:48:14,10.0.0.5,203.236.38.180,stackoverflow.com,1281103,alice
2026-04-02 10:34:34,10.0.0.9,203.95.243.29,teams.microsoft.com,1714448,dave
2026-04-02 08:44:12,10.0.0.31,203.108.107.144,zendesk.com,1803720,pat
2026-04-02 15:52:32,10.0.0.31,203.115.138.124,akamai.com,312627,pat
2026-04-02 15:55:41,10.0.0.13,203.48.59.105,stackoverflow.com,1921913,henry
2026-04-02 11:37:17,10.0.0.19,203.193.148.33,stackoverflow.com,466762,mallory
2026-04-02 08:41:50,10.0.0.5,203.229.133.122,akamai.com,538084,alice
2026-04-02 14:33:03,10.0.0.5,203.37.155.145,office365.com,426286,alice
2026-04-02 13:11:26,10.0.0.9,203.74.79.149,linkedin.com,1779968,dave
2026-04-02 08:27:15,10.0.0.12,203.36.90.225,microsoft.com,528294,grace
2026-04-02 11:33:26,10.0.0.8,203.160.75.174,github.com,865658,carol
2026-04-02 12:48:03,10.0.0.12,203.176.91.239,teams.microsoft.com,1715002,grace
2026-04-02 12:56:04,10.0.0.14,203.199.1.139,linkedin.com,1066233,ivan
2026-04-02 08:34:44,10.0.0.9,203.37.125.47,slack.com,1690218,dave
2026-04-02 11:58:05,10.0.0.6,203.95.113.190,github.com,1291421,bob
2026-04-02 08:52:27,10.0.0.8,203.250.122.46,office365.com,746713,carol
2026-04-02 09:21:27,10.0.0.22,203.24.200.131,akamai.com,1992132,oscar
2026-04-02 08:46:26,10.0.0.5,203.45.236.107,akamai.com,335737,alice
2026-04-02 14:19:08,10.0.0.31,203.124.35.45,stackoverflow.com,1126247,pat
2026-04-02 12:32:23,10.0.0.12,203.54.108.180,youtube.com,890072,grace
2026-04-02 11:45:53,10.0.0.9,203.57.170.77,sharepoint.com,205984,dave
2026-04-02 11:26:04,10.0.0.14,203.213.72.202,stackoverflow.com,209274,ivan
2026-04-02 13:14:52,10.0.0.12,203.101.47.223,microsoft.com,548272,grace
2026-04-02 08:40:21,10.0.0.6,203.185.181.196,teams.microsoft.com,1059033,bob
2026-04-02 15:04:19,10.0.0.19,203.1.250.20,aws.amazon.com,228876,mallory
2026-04-02 11:28:43,10.0.0.9,203.237.72.124,netflix.com,20129,dave
2026-04-02 11:55:16,10.0.0.10,203.253.245.170,youtube.com,1779639,eve
2026-04-02 12:37:55,10.0.0.31,203.234.167.43,netflix.com,770720,pat
2026-04-02 13:07:24,10.0.0.9,203.232.192.252,github.com,1707245,dave
2026-04-02 15:43:18,10.0.0.9,203.65.80.157,spotify.com,438854,dave
2026-04-02 14:49:06,10.0.0.31,203.148.186.166,slack.com,63013,pat
2026-04-02 13:58:58,10.0.0.5,203.200.241.200,netflix.com,1821290,alice
2026-04-02 09:10:03,10.0.0.13,203.116.120.120,google.com,1034399,henry
2026-04-02 11:59:42,10.0.0.10,203.227.44.74,akamai.com,469993,eve
2026-04-02 15:10:41,10.0.0.5,203.9.149.94,aws.amazon.com,925473,alice
2026-04-02 10:01:52,10.0.0.13,203.127.107.121,cloudflare.com,625247,henry
2026-04-02 13:54:02,10.0.0.13,203.221.47.67,fastly.net,883857,henry
2026-04-02 10:59:02,10.0.0.14,203.140.196.170,github.com,1202108,ivan
2026-04-02 08:49:37,10.0.0.22,203.184.42.246,microsoft.com,953566,oscar
2026-04-02 13:42:26,10.0.0.14,203.40.208.222,netflix.com,1325692,ivan
2026-04-02 09:58:47,10.0.0.8,203.96.118.21,microsoft.com,1338868,carol
2026-04-02 09:45:20,10.0.0.13,203.65.205.65,slack.com,1852387,henry
2026-04-02 08:15:15,10.0.0.10,203.155.183.210,akamai.com,1089699,eve
2026-04-02 11:52:10,10.0.0.8,203.112.114.132,youtube.com,907505,carol
2026-04-02 13:13:44,10.0.0.9,203.212.48.249,sharepoint.com,1362612,dave
2026-04-02 11:06:28,10.0.0.13,203.157.151.148,stackoverflow.com,111432,henry
2026-04-02 10:17:23,10.0.0.6,203.250.233.58,fastly.net,790218,bob
2026-04-02 13:02:32,10.0.0.12,203.242.9.198,stackoverflow.com,1819020,grace
2026-04-02 09:39:57,10.0.0.12,203.189.177.248,zendesk.com,443363,grace
2026-04-02 13:54:10,10.0.0.22,203.180.123.254,teams.microsoft.com,1968991,oscar
2026-04-02 13:22:09,10.0.0.22,203.37.67.104,fastly.net,1203539,oscar
2026-04-02 15:02:05,10.0.0.9,203.4.53.177,aws.amazon.com,1513817,dave
2026-04-02 15:13:12,10.0.0.8,203.239.178.111,google.com,1815684,carol
2026-04-02 08:43:09,10.0.0.19,203.171.34.15,cloudflare.com,1517154,mallory
2026-04-02 09:40:58,10.0.0.9,203.27.181.239,microsoft.com,1980124,dave
2026-04-02 10:09:17,10.0.0.13,203.42.250.205,google.com,1814209,henry
2026-04-02 15:15:18,10.0.0.22,203.188.136.201,cloudflare.com,593045,oscar
2026-04-02 10:07:33,10.0.0.9,203.165.214.204,zendesk.com,608254,dave
2026-04-02 15:22:50,10.0.0.13,203.216.36.80,sharepoint.com,881801,henry
2026-04-02 08:51:17,10.0.0.5,203.177.254.1,spotify.com,528144,alice
2026-04-02 09:51:38,10.0.0.10,203.119.229.21,netflix.com,864305,eve
2026-04-02 08:08:51,10.0.0.9,203.76.31.54,microsoft.com,66216,dave
2026-04-02 08:40:59,10.0.0.8,203.1.105.116,netflix.com,329272,carol
2026-04-02 15:34:24,10.0.0.22,203.203.26.9,zoom.us,1419264,oscar
2026-04-02 12:27:33,10.0.0.31,203.243.71.112,github.com,1026325,pat
2026-04-02 13:56:19,10.0.0.19,203.77.208.119,github.com,1249617,mallory
2026-04-02 09:20:02,10.0.0.9,203.185.9.35,spotify.com,35094,dave
2026-04-02 11:54:26,10.0.0.12,203.104.182.164,spotify.com,1203506,grace
2026-04-02 08:07:30,10.0.0.8,203.240.142.135,linkedin.com,1718675,carol
2026-04-02 12:46:24,10.0.0.14,203.103.32.121,google.com,1322236,ivan
2026-04-02 15:33:16,10.0.0.9,203.234.163.181,cloudflare.com,474009,dave
2026-04-02 09:59:56,10.0.0.31,203.84.216.197,netflix.com,1436740,pat
2026-04-02 15:42:12,10.0.0.8,203.67.242.20,linkedin.com,57711,carol
2026-04-02 08:08:37,10.0.0.6,203.38.175.150,zoom.us,856638,bob
2026-04-02 09:31:24,10.0.0.22,203.26.128.50,fastly.net,1888920,oscar
2026-04-02 15:18:26,10.0.0.31,203.88.156.46,akamai.com,365065,pat
2026-04-02 14:12:40,10.0.0.8,203.21.227.161,google.com,972204,carol
2026-04-02 12:42:34,10.0.0.31,203.114.125.235,office365.com,1786415,pat
2026-04-02 12:25:50,10.0.0.14,203.120.183.120,stackoverflow.com,838265,ivan
2026-04-02 14:57:25,10.0.0.31,203.106.36.216,office365.com,14387,pat
2026-04-02 12:57:59,10.0.0.8,203.171.184.237,office365.com,22452,carol
2026-04-02 10:44:02,10.0.0.14,203.94.225.228,sharepoint.com,1078823,ivan
2026-04-02 08:24:44,10.0.0.13,203.8.131.216,sharepoint.com,1909493,henry
2026-04-02 08:54:48,10.0.0.9,203.21.105.183,github.com,1777879,dave
2026-04-02 13:40:06,10.0.0.12,203.82.32.101,slack.com,222477,grace
2026-04-02 09:41:51,10.0.0.22,203.135.218.228,akamai.com,299090,oscar
2026-04-02 11:41:04,10.0.0.14,203.156.135.178,sharepoint.com,1883105,ivan
2026-04-02 09:50:58,10.0.0.22,203.143.241.79,netflix.com,672515,oscar
2026-04-02 10:10:40,10.0.0.13,203.29.157.2,cloudflare.com,1246170,henry
2026-04-02 10:46:52,10.0.0.22,203.189.3.128,google.com,1979356,oscar
2026-04-02 15:10:01,10.0.0.22,203.56.184.107,fastly.net,912250,oscar
2026-04-02 12:05:31,10.0.0.22,203.110.100.2,linkedin.com,1242940,oscar
2026-04-02 11:13:53,10.0.0.8,203.245.26.130,spotify.com,1821481,carol
2026-04-02 08:36:36,10.0.0.8,203.116.244.31,teams.microsoft.com,532489,carol
2026-04-02 11:41:13,10.0.0.8,203.171.164.62,netflix.com,606270,carol
2026-04-02 15:16:49,10.0.0.10,203.46.106.109,github.com,183428,eve
2026-04-02 13:25:35,10.0.0.6,203.116.110.244,zoom.us,1791452,bob
2026-04-02 13:36:01,10.0.0.22,203.251.181.107,zendesk.com,1202973,oscar
2026-04-02 11:36:24,10.0.0.9,203.252.254.60,teams.microsoft.com,1343910,dave
2026-04-02 08:39:41,10.0.0.8,203.241.191.55,cloudflare.com,672881,carol
2026-04-02 12:02:31,10.0.0.22,203.202.230.4,slack.com,1952872,oscar
2026-04-02 11:20:36,10.0.0.22,203.71.101.99,akamai.com,1401267,oscar
2026-04-02 11:23:52,10.0.0.31,203.192.5.92,salesforce.com,532943,pat
2026-04-02 08:16:51,10.0.0.31,203.58.126.93,stackoverflow.com,1747094,pat
2026-04-02 08:47:51,10.0.0.5,203.211.170.161,zendesk.com,618714,alice
2026-04-02 11:18:26,10.0.0.14,203.14.210.58,zoom.us,1731802,ivan
2026-04-02 10:04:00,10.0.0.8,203.49.105.155,youtube.com,1785638,carol
2026-04-02 09:20:46,10.0.0.31,203.220.57.169,microsoft.com,861501,pat
2026-04-02 09:18:11,10.0.0.12,203.206.2.83,aws.amazon.com,1111247,grace
2026-04-02 15:58:38,10.0.0.9,203.194.15.80,microsoft.com,1965612,dave
2026-04-02 08:11:37,10.0.0.14,203.215.9.70,sharepoint.com,1047284,ivan
